dt,pfr,"Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т"
2015-05-11 00:00:00,23900,259,10558,11270,10463,60,5200.0,64.0,257,252,263,260,9371,45.0,9900,9432,270,1250.0,1750.0,12750,2600.0,10589,285
2015-05-18 00:00:00,24000,265,10269,10723,10454,62,5200.0,65.0,264,255,263,265,9234,46.0,9900,9386,270,1250.0,1750.0,12750,2600.0,10539,288
2015-05-25 00:00:00,23700,263,10042,9744,10315,59,5200.0,64.0,262,250,265,265,8990,45.0,9900,9290,272,1250.0,1750.0,12750,2600.0,10383,283
2015-06-01 00:00:00,23500,262,10075,9586,10333,62,5200.0,65.5,258,245,265,265,8704,46.5,9900,9299,270,1250.0,1750.0,12750,2600.0,10210,280
2015-06-08 00:00:00,23800,261,10485,9540,10268,64,5000.0,66.5,258,239,265,265,8833,47.5,9400,9318,272,1250.0,1950.0,13000,2760.0,10158,279
2015-06-15 00:00:00,24400,261,10468,8646,10225,65,5000.0,69.0,258,242,265,270,8812,50.0,9400,9319,271,1250.0,1950.0,13000,2760.0,10156,279
2015-06-22 00:00:00,25000,257,10488,8816,10232,62,5000.0,66.0,255,239,265,270,8867,47.0,9400,9334,268,1250.0,1950.0,13000,2760.0,10122,273
2015-06-29 00:00:00,25300,237,10482,8801,10245,61,5000.0,64.5,236,229,265,270,8818,45.5,9400,9432,266,1250.0,1950.0,13000,2760.0,10099,266
2015-07-06 00:00:00,25500,224,10605,8805,10417,58,4000.0,63.5,225,223,265,248,8877,44.5,9050,9599,259,1180.0,2125.0,13000,3025.0,10115,252
2015-07-13 00:00:00,25500,219,10791,8907,10682,49,4000.0,57.5,213,212,265,248,8963,38.5,9050,9943,255,1180.0,2125.0,13000,3025.0,10072,240
2015-07-20 00:00:00,25400,201,10867,8745,10880,50,4000.0,58.0,201,194,265,231,8993,39.0,9050,10141,245,1180.0,2125.0,13000,3025.0,10014,225
2015-07-27 00:00:00,25200,201,10996,8646,10883,52,4000.0,59.0,201,203,265,225,8939,40.0,9050,10141,245,1180.0,2125.0,13000,3025.0,10013,227
2015-08-03 00:00:00,25000,208,11068,8896,10838,54,4000.0,61.5,205,208,265,218,8830,42.5,9050,10143,240,1180.0,1900.0,13000,2750.0,9974,233
2015-08-10 00:00:00,24700,215,11059,8990,10840,56,4000.0,63.5,211,208,255,218,8770,43.5,8800,10087,245,1155.0,1900.0,13000,2750.0,9934,240
2015-08-17 00:00:00,24400,211,11078,9007,10823,56,4000.0,63.5,215,212,255,220,8755,43.5,8800,10106,245,1155.0,1900.0,13000,2750.0,9960,243
2015-08-24 00:00:00,24100,204,11010,8863,10853,56,4000.0,63.5,210,212,250,220,8795,43.5,8800,10137,240,1155.0,1900.0,13000,2750.0,9953,236
2015-08-31 00:00:00,24100,211,11044,9086,10841,54,4000.0,62.5,215,207,248,220,8862,42.0,8800,10178,235,1155.0,1900.0,13000,2750.0,10004,231
2015-09-07 00:00:00,23900,201,11159,9299,10961,56,4000.0,63.5,200,202,236,210,8939,43.0,8800,10233,230,1155.0,2000.0,14000,2900.0,10232,220
2015-09-14 00:00:00,24200,184,11210,9282,10946,58,4000.0,64.5,189,183,236,205,8923,44.0,8800,10212,210,1155.0,2000.0,14000,2900.0,10374,206
2015-09-21 00:00:00,24200,180,11237,9206,10949,57,4000.0,64.0,188,181,236,205,8887,43.0,8800,10201,210,1155.0,2000.0,14000,2900.0,10411,202
2015-09-28 00:00:00,24000,170,11367,9585,10718,57,4000.0,64.0,178,172,231,198,8969,43.0,8800,10024,205,1155.0,2000.0,14000,2900.0,10458,194
2015-10-05 00:00:00,24000,165,11357,9553,10670,55,4000.0,62.0,175,165,216,188,9209,41.0,8800,10043,195,1155.0,2150.0,14000,3225.0,10474,187
2015-10-12 00:00:00,23800,154,11310,9574,10531,55,4200.0,62.0,167,163,216,183,9382,41.0,9100,9928,190,1155.0,2150.0,14000,3225.0,10552,178
2015-10-19 00:00:00,23800,153,11182,9554,10400,55,4200.0,62.0,159,154,205,183,9316,41.0,9100,9746,175,1155.0,2150.0,14000,3225.0,10620,170
2015-10-26 00:00:00,24200,154,11052,9582,10384,52,4200.0,59.0,158,151,189,173,9354,38.5,9100,9679,180,1155.0,2150.0,14000,3225.0,10652,173
2015-11-02 00:00:00,24500,167,10624,9485,10008,50,4200.0,58.0,164,158,189,173,9444,37.5,9100,9242,185,1155.0,2150.0,14000,3225.0,10625,186
2015-11-09 00:00:00,24500,174,10529,9195,9850,48,4200.0,59.5,178,166,181,173,9236,42.5,9000,8991,185,1155.0,2150.0,11000,3225.0,10437,195
2015-11-16 00:00:00,23950,182,10142,8938,9541,48,4200.0,57.5,180,175,181,173,9053,40.5,9000,8618,190,1155.0,2150.0,11000,3225.0,10356,200
2015-11-23 00:00:00,23750,181,9428,8844,9154,46,4200.0,54.5,179,173,181,173,8416,37.5,9000,8259,190,1155.0,2150.0,11000,3225.0,9808,196
2015-11-30 00:00:00,23100,180,9133,8878,9052,44,4200.0,51.5,179,168,183,173,8036,34.5,9000,8160,185,1155.0,2150.0,11000,3225.0,9381,191
2015-12-07 00:00:00,22800,176,9103,8660,9138,41,4200.0,52.5,178,163,183,173,8002,37.5,9000,8112,180,1155.0,1925.0,11000,2825.0,9350,190
2015-12-14 00:00:00,22000,176,9143,8330,9142,39,4200.0,50.5,178,161,183,173,8067,35.5,9000,8115,180,1155.0,1925.0,11000,2825.0,9326,187
2015-12-21 00:00:00,21700,174,9268,8016,9135,39,4200.0,51.5,175,160,183,173,7813,36.5,9000,8050,180,1155.0,1925.0,11000,2825.0,8888,187
2015-12-28 00:00:00,21300,172,9337,8134,9116,40,4200.0,52.5,168,158,183,173,7638,37.5,9000,8064,180,1155.0,1925.0,11000,2825.0,8934,186
2016-01-04 00:00:00,21300,172,9332,8077,9095,42,4200.0,54.5,168,160,183,173,7554,39.5,9000,8067,180,1155.0,1925.0,11000,2825.0,8973,189
2016-01-11 00:00:00,21300,173,9428,8058,9221,42,4200.0,54.5,174,160,183,173,7439,39.5,9000,7826,185,1155.0,1650.0,11000,2525.0,8963,188
2016-01-18 00:00:00,21200,173,9240,8387,9089,40,4200.0,53.5,175,159,183,173,7538,38.5,9000,8090,190,1130.0,1650.0,11000,2525.0,8981,186
2016-01-25 00:00:00,21000,172,9272,8361,9126,42,4200.0,54.0,174,156,183,174,7649,39.0,9000,8176,190,1130.0,1650.0,11000,2525.0,9023,181
2016-02-01 00:00:00,21000,165,9339,8860,9231,42,4200.0,54.0,168,153,183,177,7650,39.0,9000,8247,190,1130.0,1650.0,11000,2525.0,9067,177
2016-02-08 00:00:00,21000,165,9249,9094,9428,44,4200.0,48.5,167,150,181,177,7916,35.5,8650,8366,185,1130.0,1725.0,11700,2525.0,9011,176
2016-02-15 00:00:00,21200,164,9442,9094,9540,44,4200.0,48.5,168,148,185,176,8037,35.5,8650,8502,185,1130.0,1725.0,11700,2525.0,9224,175
2016-02-22 00:00:00,21800,166,9335,9177,9664,47,4200.0,50.0,170,150,187,177,8163,38.0,8650,8603,187,1130.0,1725.0,11700,2525.0,9232,175
2016-02-29 00:00:00,22450,177,9408,8899,9745,50,4200.0,53.0,182,160,188,177,8007,40.0,8650,8729,189,1130.0,1725.0,11700,2525.0,9276,188
2016-03-07 00:00:00,23300,189,9437,9266,9724,51,4200.0,57.5,190,169,192,182,7993,44.5,8650,8760,210,1130.0,1875.0,12300,2850.0,9373,195
2016-03-14 00:00:00,23800,203,9887,8946,9729,60,4200.0,61.0,206,186,193,200,8604,48.0,8650,9023,210,1130.0,1875.0,12300,2850.0,9501,208
2016-03-21 00:00:00,25500,214,9933,8800,10195,55,4200.0,60.0,215,191,190,210,8865,47.0,8650,9462,240,1130.0,1875.0,12300,2850.0,9711,220
2016-03-28 00:00:00,26700,217,9990,8900,10444,57,4200.0,61.0,217,200,214,228,8942,48.0,8650,9745,250,1130.0,1875.0,12300,2850.0,9836,227
2016-04-04 00:00:00,29900,225,9901,8700,10595,54,4200.0,63.0,229,208,236,238,9096,47.0,8650,9847,250,1130.0,1875.0,12300,2850.0,9847,232
2016-04-11 00:00:00,29950,240,10292,9006,10673,54,4400.0,63.0,244,223,241,243,9097,47.0,8850,9857,260,1250.0,2275.0,14200,3325.0,10284,258
2016-04-18 00:00:00,31500,257,10153,8701,10732,59,4400.0,66.5,261,242,244,248,9268,49.5,8850,9924,275,1250.0,2275.0,14200,3325.0,10461,268
2016-04-25 00:00:00,31900,274,10120,8760,11019,65,4400.0,69.5,277,255,251,268,9717,52.5,8850,10402,295,1250.0,2275.0,14200,3325.0,10579,293
2016-05-02 00:00:00,40300,289,10471,8734,11567,64,4400.0,69.0,289,271,288,275,10325,52.0,8850,10849,325,1250.0,2275.0,14200,3325.0,10763,309
2016-05-09 00:00:00,43500,309,11395,8788,11860,60,4400.0,67.5,315,288,295,305,10585,51.0,8850,11034,325,1250.0,2250.0,19500,3275.0,10978,327
2016-05-16 00:00:00,43350,299,12611,10887,12128,55,4400.0,65.0,306,271,295,285,10986,48.5,8850,11282,315,1250.0,2250.0,19500,3275.0,11980,299
2016-05-23 00:00:00,42950,289,12380,10862,12196,55,4400.0,65.0,302,254,295,270,11022,48.5,8850,11403,285,1250.0,2250.0,19500,3275.0,12248,296
2016-05-30 00:00:00,42000,274,12420,10793,12443,51,4400.0,60.0,288,199,292,250,11457,46.5,8850,11810,280,1250.0,2250.0,19500,3275.0,12613,275
2016-06-06 00:00:00,38300,251,12587,11245,12890,51,4400.0,60.0,254,195,290,230,11276,46.5,8875,11984,265,1250.0,2375.0,17750,3350.0,12801,255
2016-06-13 00:00:00,37500,216,12587,11222,12802,52,4400.0,68.5,217,198,286,225,11296,50.5,8875,11884,245,1250.0,2375.0,17750,3350.0,12570,232
2016-06-20 00:00:00,36800,211,12827,11117,12540,51,4400.0,68.0,215,193,288,233,11213,50.0,8875,11643,250,1250.0,2375.0,17750,3350.0,12311,228
2016-06-27 00:00:00,35400,211,12750,11051,12171,51,4400.0,68.0,222,194,288,233,11015,50.0,8875,11323,250,1250.0,2375.0,17750,3350.0,12160,221
2016-07-04 00:00:00,34400,203,12157,9292,12045,54,4400.0,69.0,207,193,253,233,10216,51.5,8875,10824,240,1250.0,2375.0,17750,3350.0,11178,217
2016-07-11 00:00:00,33400,202,11872,9427,11352,56,4400.0,62.5,203,185,245,226,9895,45.0,9025,10444,245,1250.0,2025.0,15900,3075.0,11159,212
2016-07-18 00:00:00,32500,202,11488,9273,11350,58,4400.0,63.5,204,187,250,226,9705,46.0,9025,10419,245,1250.0,2025.0,15900,3075.0,11023,218
2016-07-25 00:00:00,32000,210,11392,9242,11269,56,4400.0,62.5,208,200,250,226,9524,45.0,9025,10193,250,1250.0,2025.0,15900,3075.0,11030,225
2016-08-01 00:00:00,31000,213,11309,9162,11248,59,4400.0,63.5,217,201,248,226,9532,46.5,9025,10197,250,1250.0,2025.0,15900,3075.0,10479,229
2016-08-08 00:00:00,30200,212,11239,9446,11230,60,4400.0,69.0,217,201,250,228,9593,52.5,9225,10411,245,1235.0,2050.0,14750,3225.0,10607,229
2016-08-15 00:00:00,29200,213,11354,9424,11421,61,4400.0,69.5,217,197,245,228,9971,53.0,9225,10515,250,1235.0,2050.0,14750,3225.0,10802,228
2016-08-22 00:00:00,28850,208,11519,9446,11509,61,4400.0,69.5,217,200,245,225,10190,53.0,9225,10607,255,1235.0,2050.0,14750,3225.0,10858,224
2016-08-29 00:00:00,28700,216,11484,10509,11664,61,4400.0,69.5,217,195,250,225,10287,53.0,9225,10750,255,1235.0,2050.0,14750,3225.0,11265,225
2016-09-05 00:00:00,28500,210,11336,10694,11876,59,4400.0,70.0,217,196,250,226,10344,53.0,9525,11036,255,1235.0,2350.0,14750,3525.0,11689,225
2016-09-12 00:00:00,30000,209,11512,10918,12191,59,4400.0,70.0,217,191,250,225,10542,53.0,9525,11352,255,1235.0,2350.0,14750,3525.0,12011,223
2016-09-19 00:00:00,32000,208,11489,11193,12420,56,4400.0,68.0,212,188,248,236,10720,51.0,9525,11495,245,1235.0,2350.0,14750,3525.0,12257,218
2016-09-26 00:00:00,32500,204,11403,11153,12568,56,4400.0,68.0,209,188,248,230,10937,51.0,9525,11623,250,1235.0,2350.0,14750,3525.0,12321,210
2016-10-03 00:00:00,33300,196,11612,11111,12591,56,4400.0,69.0,196,181,248,223,11062,51.0,9525,11721,243,1235.0,2350.0,14750,3525.0,12279,210
2016-10-10 00:00:00,34300,201,12954,11304,13005,55,6450.0,70.0,203,186,243,223,11807,53.0,12900,12201,235,1135.0,2375.0,13400,3435.0,13247,215
2016-10-17 00:00:00,33700,206,12869,11273,13017,57,6450.0,71.5,208,194,243,223,11839,54.0,12900,12182,240,1135.0,2375.0,13400,3435.0,13132,220
2016-10-24 00:00:00,32200,213,12672,11552,12976,59,6450.0,73.5,217,208,235,228,11878,55.0,12900,12203,250,1135.0,2375.0,13400,3435.0,13125,228
2016-10-31 00:00:00,30400,221,12716,11786,12682,62,6450.0,74.5,221,206,235,228,11589,55.5,12900,11917,270,1135.0,2375.0,13400,3435.0,12621,235
2016-11-07 00:00:00,30200,237,12660,11792,12548,65,6450.0,76.5,240,213,249,233,11729,57.5,12900,11819,290,1135.0,2425.0,13900,3300.0,12713,253
2016-11-14 00:00:00,29800,252,12564,11584,12483,72,6450.0,77.5,255,236,249,260,11742,59.5,12900,11800,315,1135.0,2425.0,13900,3300.0,12866,269
2016-11-21 00:00:00,33500,255,12917,11719,12729,74,6450.0,78.5,262,240,278,273,11858,60.5,12900,12108,325,1135.0,2425.0,13900,3300.0,12932,272
2016-11-28 00:00:00,33500,250,13434,11561,13377,76,6450.0,79.5,261,236,278,273,12196,61.5,12900,12556,320,1135.0,2425.0,13900,3300.0,13254,270
2016-12-05 00:00:00,33500,248,13500,11894,13950,77,6450.0,83.0,259,233,275,271,12873,67.0,12900,13021,315,1135.0,3175.0,16800,4600.0,13702,268
2016-12-12 00:00:00,33500,245,14417,12144,14492,81,6450.0,87.0,259,230,275,270,13335,70.0,13100,13600,310,1135.0,3175.0,16800,4600.0,14300,267
2016-12-19 00:00:00,33000,251,15094,13327,15385,82,6450.0,88.0,270,255,300,285,14171,70.5,13100,14403,315,1135.0,3175.0,16800,4600.0,14942,279
2016-12-26 00:00:00,32500,259,15561,13377,15869,80,6450.0,86.0,283,263,300,285,14354,69.5,13100,14969,310,1135.0,3175.0,16800,4600.0,15269,292
2017-01-02 00:00:00,33750,259,16085,13393,15878,80,6450.0,86.0,283,263,300,285,14467,69.5,13100,15046,310,1135.0,3175.0,16800,4600.0,15323,292
2017-01-09 00:00:00,33750,259,15579,13553,15705,78,6450.0,104.0,283,263,300,285,14420,83.0,13725,15038,310,1360.0,3975.0,20850,5200.0,15322,292
2017-01-16 00:00:00,33750,256,16093,13449,15861,80,6450.0,104.0,280,260,300,281,14583,84.0,13725,15072,310,1360.0,3975.0,20850,5200.0,15312,288
2017-01-23 00:00:00,33750,249,15659,13468,15838,82,6450.0,104.5,275,253,300,277,14478,84.5,13725,14887,315,1360.0,3975.0,20850,5200.0,15315,280
2017-01-30 00:00:00,33000,219,15439,13396,15868,82,6450.0,104.5,246,223,280,265,14480,84.5,13725,14812,300,1360.0,3975.0,20850,5200.0,15328,250
2017-02-06 00:00:00,32600,206,15233,13426,15642,83,9250.0,104.5,235,209,280,265,14685,84.5,17500,14607,290,2150.0,3775.0,20850,5025.0,15303,235
2017-02-13 00:00:00,32000,222,14945,13381,15229,83,9250.0,104.5,246,222,313,265,14280,84.5,17500,14201,310,2150.0,3775.0,20850,5025.0,15412,251
2017-02-20 00:00:00,31300,246,14799,13348,14854,91,9250.0,111.5,270,245,313,280,14234,86.0,17500,13780,328,2150.0,3775.0,20850,5025.0,15315,275
2017-02-27 00:00:00,30300,254,14729,13155,14506,93,9250.0,114.0,277,252,320,280,13702,87.5,17500,13357,340,2150.0,3775.0,20850,5025.0,14552,282
2017-03-06 00:00:00,30500,259,14708,13098,14184,92,9150.0,117.5,280,255,335,285,12842,92.0,17500,13070,360,2375.0,3925.0,20850,5175.0,13624,285
2017-03-13 00:00:00,30700,269,14310,12284,13438,87,9150.0,115.5,287,271,355,290,12538,90.5,17500,12744,365,2375.0,3925.0,20850,5175.0,13321,299
2017-03-20 00:00:00,30600,268,14112,12269,13515,91,9150.0,117.5,285,270,390,287,12330,92.5,17500,12395,385,2375.0,3925.0,20850,5175.0,13198,298
2017-03-27 00:00:00,30400,250,13877,11824,13479,86,9150.0,115.5,265,257,390,280,12385,90.5,17500,12440,395,2375.0,3925.0,20850,5175.0,13263,276
2017-04-03 00:00:00,29800,241,13792,11814,13477,81,9150.0,112.5,255,249,380,280,12348,87.5,17500,12408,390,2375.0,3925.0,20850,5175.0,13316,267
2017-04-10 00:00:00,29500,247,13543,11738,13400,79,5650.0,111.5,260,255,370,280,12384,84.0,14775,12281,390,2375.0,4175.0,21250,5825.0,13269,275
2017-04-17 00:00:00,28200,246,13631,11707,13392,71,5650.0,104.5,258,254,370,275,12310,80.0,14775,12245,387,2375.0,4175.0,21250,5825.0,13199,274
2017-04-24 00:00:00,27500,238,13731,11652,13268,65,5650.0,102.5,249,243,365,275,12225,77.5,14775,12192,385,2375.0,4175.0,21250,5825.0,13215,265
2017-05-01 00:00:00,26500,238,13742,11580,13298,68,5650.0,103.5,246,239,365,270,12235,78.5,14775,12230,375,2375.0,4175.0,21250,5825.0,13174,263
2017-05-08 00:00:00,26300,252,13627,11576,13275,66,5650.0,87.5,257,250,365,275,12270,64.0,14775,12189,370,2400.0,3525.0,18500,4950.0,13211,274
2017-05-15 00:00:00,26300,251,13442,11599,13168,60,5650.0,82.0,255,249,365,275,12273,61.0,14775,12170,370,2400.0,3525.0,18500,4950.0,13209,273
2017-05-22 00:00:00,26200,250,13558,11566,13095,62,5650.0,83.0,255,248,365,275,12302,62.0,14775,12107,365,2400.0,3525.0,18500,4950.0,13157,273
2017-05-29 00:00:00,26150,246,13576,11547,13080,60,5650.0,82.0,253,247,365,270,12298,61.0,14775,12017,360,2400.0,3525.0,18500,4950.0,13136,271
2017-06-05 00:00:00,26150,246,13563,11542,12995,57,5650.0,76.5,253,247,365,265,12152,56.5,14550,11896,360,2400.0,2797.5,18250,4110.0,12885,271
2017-06-12 00:00:00,26150,247,13437,11564,12815,56,5650.0,75.5,253,248,350,265,12029,55.5,14550,11708,355,2400.0,2797.5,18250,4110.0,12828,272
2017-06-19 00:00:00,26350,249,13389,11545,12826,54,5650.0,75.5,254,250,350,265,11762,54.5,14550,11668,350,2400.0,2797.5,18250,4110.0,12575,274
2017-06-26 00:00:00,26550,253,12917,11552,12821,56,5650.0,77.0,256,254,345,265,11580,56.5,14550,11677,345,2400.0,2797.5,18250,4110.0,12376,280
2017-07-03 00:00:00,26650,262,12932,11545,12814,61,5650.0,85.0,267,263,340,275,11609,57.0,14550,11715,340,2400.0,2797.5,18250,4110.0,12369,288
2017-07-10 00:00:00,28000,270,12925,11119,12808,63,5600.0,89.5,271,270,345,280,11568,59.0,12250,11695,350,1900.0,2440.0,18250,3450.0,12478,295
2017-07-17 00:00:00,28800,271,13107,11124,12803,65,5600.0,91.5,273,273,345,290,11583,60.0,12250,11663,350,1900.0,2440.0,18250,3450.0,12606,297
2017-07-24 00:00:00,29400,273,13301,11608,12766,68,5600.0,92.5,275,278,350,290,11938,61.5,12800,11862,350,1900.0,2440.0,18250,3450.0,12999,302
2017-07-31 00:00:00,29400,292,13492,11696,13137,69,5600.0,92.5,295,290,355,303,12038,61.5,12800,12253,360,1900.0,2440.0,18250,3450.0,13145,320
2017-08-07 00:00:00,30900,305,13519,11891,13841,73,5600.0,95.0,310,303,355,308,12200,65.5,12800,12697,355,1850.0,2860.0,18850,3925.0,13401,328
2017-08-14 00:00:00,33900,325,13960,12226,14104,76,5600.0,96.0,327,320,355,330,12366,67.0,12650,13033,360,1850.0,2860.0,18850,3925.0,13482,345
2017-08-21 00:00:00,35900,330,15507,12256,14648,74,5600.0,95.0,336,329,360,340,13013,66.0,12650,13535,365,1850.0,2860.0,18850,3925.0,13638,355
2017-08-28 00:00:00,36800,333,16541,12924,15876,78,5600.0,97.0,339,332,363,340,14149,68.0,12650,14841,375,1850.0,2860.0,18850,3925.0,14904,358
2017-09-04 00:00:00,38600,330,16341,13529,16179,77,5600.0,96.5,336,330,375,353,14285,66.5,12650,15142,380,1850.0,2860.0,18850,3925.0,15177,356
2017-09-11 00:00:00,39600,331,16411,13732,16271,77,5600.0,94.0,339,327,375,352,14533,65.5,12650,15267,380,1850.0,3305.0,19350,4540.0,15466,356
2017-09-18 00:00:00,38800,326,17060,14888,16676,74,5600.0,92.5,336,315,375,352,15355,64.0,12650,15732,380,1850.0,3305.0,19350,4540.0,16078,352
2017-09-25 00:00:00,38800,305,17450,15634,17238,67,5600.0,90.5,321,305,370,352,15692,60.5,12650,16167,375,1850.0,3305.0,19350,4540.0,16597,330
2017-10-02 00:00:00,37500,280,17386,15517,17228,63,5600.0,89.0,290,265,333,345,15692,59.0,12650,16221,345,1850.0,3305.0,19350,4540.0,16696,305
2017-10-09 00:00:00,37000,275,17575,15386,17167,62,7600.0,102.5,285,260,333,325,15697,70.0,16300,16257,345,2150.0,3370.0,20650,4630.0,16546,300
2017-10-16 00:00:00,35800,280,17256,15201,16933,60,7600.0,97.5,290,265,327,325,16029,69.0,16300,16006,340,2150.0,3370.0,20650,4630.0,16804,307
2017-10-23 00:00:00,33800,285,17141,15301,16898,61,7600.0,100.0,286,261,327,323,15815,69.0,16300,15961,340,2150.0,3370.0,20650,4630.0,16719,303
2017-10-30 00:00:00,31500,273,16555,14522,16484,61,7600.0,100.0,286,261,336,323,15028,69.0,16300,15416,340,2150.0,3370.0,20650,4630.0,16126,302
2017-11-06 00:00:00,30000,279,16255,14274,16141,60,7600.0,105.0,290,265,336,323,14445,70.0,16025,14958,340,2150.0,2750.0,20000,3800.0,15713,309
2017-11-13 00:00:00,32500,275,16093,14146,15769,63,7600.0,106.5,283,260,336,330,14316,73.0,16025,14552,337,2150.0,2750.0,20000,3800.0,15601,304
2017-11-20 00:00:00,32500,277,15222,14170,15327,62,7600.0,106.5,293,266,330,330,13691,73.0,16025,14246,340,2150.0,2750.0,20000,3800.0,15328,310
2017-11-27 00:00:00,32000,285,15389,14017,14970,65,7600.0,107.5,296,272,325,340,13724,74.0,16025,13932,335,2150.0,2750.0,20000,3800.0,15192,315
2017-12-04 00:00:00,31500,301,15415,14013,14882,68,7600.0,109.0,300,270,330,345,13599,75.5,16025,13758,335,2150.0,2750.0,20000,3800.0,15040,329
2017-12-11 00:00:00,31700,320,15320,13972,14759,70,7600.0,110.0,315,285,350,355,13580,76.5,15850,13604,355,2150.0,2740.0,20000,3780.0,15028,345
